cpu_pct_used,mem_pct_used,swap_pct_used,transient_pct_used,saswork_pct_used,workspace_pct_used,xythosfs_pct_used,TotalRecvQ_bytes,TotalSendQ_bytes,usockets_servers,usockets_connections,tcp_active_connections,tcp_inactive_connections,active_https_conn,inactive_https_conn,eth0_rx_packets,eth0_rx_bytes,eth0_tx_packets,eth0_tx_bytes,eth1_rx_packets,eth1_rx_bytes,eth1_tx_packets,eth1_tx_bytes,lo_rx_packets,lo_rx_bytes,lo_tx_packets,lo_tx_bytes,high_usage,date
1,23.3,99.9,0.8,0.2,66.6,60.9,825,2256,42,100,134,128,4,1,147,29418,166,24028,122,27082,167,24094,104,110566,104,110566,,2025-03-23T00:01:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,45,324,42,100,148,140,4,1,382,80827,391,53542,371,84168,390,53416,107,110722,107,110722,,2025-03-23T00:03:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.9,5,162,42,100,119,137,3,1,561,122626,583,79349,550,128473,583,79349,112,110982,112,110982,,2025-03-23T00:05:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,11,486,42,100,138,140,3,1,248,49198,256,33966,233,49963,256,33966,116,111190,116,111190,,2025-03-23T00:07:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,57,270,42,100,107,147,3,1,28,4270,38,3353,13,1955,38,3353,112,110982,112,110982,,2025-03-23T00:09:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.9,56,260,42,100,128,147,5,1,532,121770,534,74590,517,126511,534,74590,122,111502,122,111502,,2025-03-23T00:11:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.9,6,216,42,100,143,141,4,1,406,87258,423,60831,384,87910,424,60897,133,112074,133,112074,,2025-03-23T00:13:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,7,270,42,100,122,132,4,1,361,76920,372,54222,338,76793,373,54288,115,111112,115,111112,,2025-03-23T00:15:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.9,5,162,42,100,129,129,3,1,282,55485,304,43080,256,53701,305,43146,118,111294,118,111294,,2025-03-23T00:17:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,10,432,42,100,113,133,3,1,201,37892,209,27643,194,39541,209,27643,106,110670,106,110670,,2025-03-23T00:19:07+00:00
5,23.3,99.9,0.8,0.2,66.6,60.9,9,422,42,100,140,134,4,1,566,129092,573,79932,558,135741,572,79806,112,110982,112,110982,,2025-03-23T00:21:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,145,270,42,100,140,134,4,1,211,39889,224,29487,204,41678,224,29487,108,110774,108,110774,,2025-03-23T00:23:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,56,216,42,100,122,132,3,1,126,20977,137,16415,111,20262,137,16415,116,111164,116,111164,,2025-03-23T00:25:07+00:00
2,23.5,99.9,0.9,0.2,66.6,60.9,131,270,42,103,135,140,3,2,5063,1989836,4633,1503416,5604,2095721,5275,1545848,173,118370,173,118370,,2025-03-23T00:27:07+00:00
4,23.5,99.9,0.9,0.2,66.6,60.9,6,216,42,103,107,138,4,2,5791,4559315,4316,4324887,7978,4783405,6908,4495899,137,113752,137,113752,,2025-03-23T00:29:07+00:00
3,23.6,99.9,0.9,0.2,66.6,60.9,50,659,45,107,134,139,3,2,5323,3746117,4172,3290089,7026,3932334,6088,3416545,143,113770,143,113770,,2025-03-23T00:31:07+00:00
3,23.6,99.9,0.9,0.2,66.6,60.9,8,324,45,107,144,138,3,2,65,9265,74,8474,58,9010,74,8474,110,110878,110,110878,,2025-03-23T00:33:07+00:00
3,23.5,99.9,0.9,0.2,66.6,60.9,6,216,45,107,119,138,3,2,225,207337,171,203352,325,215598,293,211404,134,112609,134,112609,,2025-03-23T00:35:07+00:00
3,23.5,99.9,0.9,0.2,66.6,60.9,12,540,45,107,135,140,3,2,719,816492,452,786213,1154,853862,941,818487,148,115352,148,115352,,2025-03-23T00:37:07+00:00
2,23.5,99.9,0.9,0.2,66.6,60.9,10,3825,45,107,112,138,4,2,147,24550,156,19394,133,24278,156,19394,126,112794,126,112794,,2025-03-23T00:39:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.9,7,314,45,104,139,130,5,1,507,115281,519,75662,489,118047,520,75728,128,111814,128,111814,,2025-03-23T00:41:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,144,216,45,104,137,136,2,1,458,98438,468,67381,435,99730,469,67447,123,111554,123,111554,,2025-03-23T00:43:07+00:00
5,23.4,99.9,0.9,0.2,66.6,60.9,58,324,45,106,125,139,4,1,1120,388862,1133,168338,1112,403077,1133,168278,219,208500,219,208500,,2025-03-23T00:45:07+00:00
2,23.7,99.9,0.9,0.2,66.6,60.9,212,528,45,107,136,140,4,2,224,45208,232,31078,217,47179,232,31078,116,111190,116,111190,,2025-03-23T00:47:07+00:00
2,23.7,99.9,0.9,0.2,66.6,60.9,10,432,45,107,110,139,3,2,127,22308,138,17301,120,22921,138,17301,121,111450,121,111450,,2025-03-23T00:49:07+00:00
2,23.7,99.9,0.9,0.2,66.6,60.9,11,632,45,107,131,141,3,2,499,112840,506,70913,496,119361,506,70913,102,110426,102,110426,,2025-03-23T00:51:06+00:00
2,23.7,99.9,0.9,0.2,66.6,60.9,13,594,45,107,149,140,3,2,442,93621,456,62418,438,99218,456,62418,113,114096,113,114096,,2025-03-23T00:53:07+00:00
3,23.7,99.9,0.9,0.2,66.6,60.9,11,486,45,107,124,135,3,2,248,49465,255,33800,233,50458,255,33800,117,114278,117,114278,,2025-03-23T00:55:07+00:00
3,23.7,99.9,0.9,0.3,66.6,60.9,8,324,45,107,133,141,3,2,60,8566,72,8533,56,8853,72,8533,170,119122,170,119122,,2025-03-23T00:57:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.9,83,270,45,104,106,136,3,1,61,10724,66,10994,54,10413,66,10994,162,117342,162,117342,,2025-03-23T00:59:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.8,6,260,45,104,133,130,3,1,416,94312,425,58650,409,98971,425,58650,127,112970,127,112970,,2025-03-23T01:01:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.8,4,108,45,104,141,133,3,1,301,63027,308,41608,292,65842,308,41608,109,110826,109,110826,,2025-03-23T01:03:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.8,8,324,45,104,122,130,3,1,206,41147,219,28605,198,42717,219,28605,114,111060,114,111060,,2025-03-23T01:05:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.8,44,216,45,104,133,134,3,1,11,1336,15,1108,4,325,15,1108,113,111034,113,111034,,2025-03-23T01:07:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.8,47,162,45,104,104,133,4,1,85,13800,107,12512,81,14399,107,12512,108,110774,108,110774,,2025-03-23T01:09:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.8,8,368,45,104,128,132,3,1,505,114333,518,75298,483,116371,519,75364,100,110358,100,110358,,2025-03-23T01:11:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.8,1938,2310,45,104,146,134,3,1,143,25915,164,20231,135,26648,164,20231,121,111450,121,111450,,2025-03-23T01:13:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.8,10,432,45,104,127,128,3,1,95,18752,107,20442,95,20082,107,20442,108,110774,108,110774,,2025-03-23T01:15:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.8,6,216,45,104,129,131,3,1,193,37640,210,27168,186,39177,210,27168,111,110930,111,110930,,2025-03-23T01:17:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.8,10,432,45,104,113,130,3,1,78,10724,85,10303,71,10651,85,10303,114,111086,114,111086,,2025-03-23T01:19:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.8,5,162,45,104,136,133,3,1,122,20548,143,17321,115,21091,143,17321,118,111294,118,111294,,2025-03-23T01:21:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.8,10,432,45,104,143,133,3,1,84,11601,95,11256,77,11612,95,11256,115,111138,115,111138,,2025-03-23T01:23:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.8,7,270,45,104,121,129,3,1,56,7737,70,8082,44,6507,70,8082,109,112370,109,112370,,2025-03-23T01:25:07+00:00
2,23.5,99.9,0.9,0.2,66.6,60.8,8,384,45,107,136,140,3,2,4790,2019988,4297,1582454,5381,2125227,5026,1630568,114,111086,114,111086,,2025-03-23T01:27:07+00:00
3,23.5,99.9,0.9,0.2,66.6,60.8,59,454,45,107,109,144,4,2,5688,4774293,3941,4359586,8021,5007308,6701,4541746,119,111346,119,111346,,2025-03-23T01:29:07+00:00
2,23.5,99.9,0.9,0.2,66.6,60.8,56,260,45,107,134,145,5,2,5199,3738410,4012,3316242,6940,3924963,5993,3446988,133,112074,133,112074,,2025-03-23T01:31:07+00:00
2,23.6,99.9,0.9,0.2,66.6,60.8,15,702,45,107,150,141,2,2,458,103824,471,65558,458,110236,471,65558,117,111242,117,111242,,2025-03-23T01:33:07+00:00
4,23.5,99.9,0.9,0.2,66.6,60.8,7,875,45,107,125,140,4,2,361,74360,375,53402,331,73068,376,53468,143,113191,143,113191,,2025-03-23T01:35:07+00:00
3,23.5,99.9,0.9,0.2,66.6,60.8,10068,77832,45,107,134,143,3,2,1594,1681072,1027,1593925,2443,1755842,2026,1659859,136,113273,136,113273,,2025-03-23T01:37:07+00:00
3,23.5,99.9,0.9,0.2,66.6,60.8,11,12096,45,107,111,142,3,2,202,39037,226,32404,180,36833,227,32470,135,204347,135,204347,,2025-03-23T01:39:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.8,60,476,45,104,140,136,5,1,492,113224,502,70002,489,119647,503,70192,110,110878,110,110878,,2025-03-23T01:41:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.8,5,162,45,104,139,131,4,1,267,53249,280,37395,260,55822,280,37395,118,111294,118,111294,,2025-03-23T01:43:07+00:00
15,23.4,99.9,1,0.2,66.6,60.8,7,368,45,108,126,147,3,1,3267,1556822,3346,513763,3316,1604857,3362,514863,976,1411515,976,1411515,,2025-03-23T01:45:07+00:00
2,23.9,99.9,1.1,0.2,66.6,60.8,77,648,45,113,141,161,2,4,106,19992,120,21274,99,20311,120,21274,111,110930,111,110930,,2025-03-23T01:47:07+00:00
3,23.8,99.9,1,0.2,66.6,60.8,12,712,45,113,114,158,3,4,409,172751,400,158565,421,178415,422,160017,444,780662,444,780662,,2025-03-23T01:49:07+00:00
4,24.2,99.9,2.4,0.2,66.6,60.8,11,1223,45,115,136,168,4,4,1569,770579,1626,223301,1669,798291,1627,223411,1445,2284849,1445,2284849,,2025-03-23T01:51:07+00:00
4,24.2,99.9,1.9,0.2,66.6,60.8,1842,1032,45,113,171,212,4,4,1883,744025,2011,269741,1987,776548,2011,269741,131,111970,131,111970,,2025-03-23T01:53:07+00:00
2,24,99.9,1,0.2,66.6,60.8,6,260,45,110,147,196,5,3,624,134331,626,88447,616,141753,626,88447,103,110488,103,110488,,2025-03-23T01:55:07+00:00
6,24.4,99.9,3.1,0.3,66.6,60.8,15,702,45,116,147,200,3,5,113,18540,124,18276,106,18957,124,18276,147,113263,147,113263,,2025-03-23T01:57:07+00:00
0,23.7,99.9,1.9,0.2,66.6,60.9,9,378,45,110,128,194,5,3,355,77370,374,59492,341,80010,374,59492,128,112684,128,112684,,2025-03-23T01:59:07+00:00
4,23.6,99.9,1.9,0.2,66.6,60.9,10,432,45,110,143,195,5,3,350,71556,387,51544,343,75291,387,51544,134,112126,134,112126,,2025-03-23T02:01:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,372,2094,45,104,139,178,3,1,239,51488,253,42700,212,49214,254,42766,115,111138,115,111138,,2025-03-23T02:03:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,4,108,45,104,119,176,3,1,279,60122,295,47200,252,58369,296,47266,117,111216,117,111216,,2025-03-23T02:05:07+00:00
1,23.3,99.9,0.8,0.2,66.6,60.9,12,540,45,104,139,176,5,1,197,36108,207,26636,183,36536,207,26636,114,111086,114,111086,,2025-03-23T02:07:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,5,162,45,104,106,177,3,1,218,45546,240,36306,204,46268,240,36306,130,111918,130,111918,,2025-03-23T02:09:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,57,270,45,104,128,179,5,1,147,24564,158,19480,133,24292,158,19480,107,110722,107,110722,,2025-03-23T02:11:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,58,324,45,104,142,177,3,1,233,49765,254,37563,226,51862,254,37563,117,111242,117,111242,,2025-03-23T02:13:07+00:00
6,23.3,99.9,0.9,0.2,66.6,60.9,4,3881,45,106,123,178,3,1,1935,928014,1996,326821,1969,955821,2011,327811,510,1154590,510,1154590,,2025-03-23T02:15:07+00:00
0,23.4,99.9,0.9,0.2,66.6,60.9,107,216,45,107,138,184,4,2,202,42824,221,33048,195,44487,221,33048,124,111606,124,111606,,2025-03-23T02:17:07+00:00
5,23.7,99.9,2.3,0.2,66.6,60.9,9,738,45,112,125,218,5,3,2883,960820,2915,558963,2934,1004257,2915,558963,120,110726,120,110726,,2025-03-23T02:19:07+00:00
3,23.8,99.9,2,0.2,66.6,60.9,6,216,45,113,152,214,5,4,120,19880,144,19912,93,15597,145,19978,530,165000,530,165000,,2025-03-23T02:21:07+00:00
0,23.7,99.9,1.9,0.2,66.6,60.9,9,378,46,110,165,195,5,3,130,22394,151,21988,108,19182,152,22054,118,111294,118,111294,,2025-03-23T02:23:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,8,324,46,104,145,174,6,1,162,28608,194,26589,135,24995,195,26655,119,112890,119,112890,,2025-03-23T02:25:07+00:00
3,23.6,99.9,0.9,0.2,66.6,60.9,33864,50556,45,107,132,181,3,2,3410,1811343,2934,1592118,4146,1907284,3791,1648680,124,111940,124,111940,,2025-03-23T02:27:07+00:00
2,23.6,99.9,0.9,0.2,66.6,60.9,12,540,45,107,114,178,3,2,5263,4176392,3932,3751032,7351,4387147,6236,3903112,111,110930,111,110930,,2025-03-23T02:29:07+00:00
2,23.6,99.9,0.9,0.2,66.6,60.9,218,594,45,107,140,183,4,2,5457,3877991,4147,3445642,7263,4072758,6250,3584528,131,111970,131,111970,,2025-03-23T02:31:07+00:00
2,23.6,99.9,0.9,0.2,66.6,60.9,59,378,45,107,144,185,4,2,65,9361,78,8988,58,9106,78,8988,113,111034,113,111034,,2025-03-23T02:33:07+00:00
3,23.6,99.9,0.9,0.2,66.6,60.9,7,270,45,107,122,179,2,2,557,780949,297,790361,1007,817661,796,823295,166,116678,166,116678,,2025-03-23T02:35:07+00:00
3,23.5,99.9,0.9,0.2,66.6,60.9,70,378,45,107,130,182,3,2,531,572139,400,488735,845,599921,704,508799,126,112219,126,112219,,2025-03-23T02:37:07+00:00
3,23.5,99.9,0.9,0.2,66.6,60.9,10,432,45,107,111,180,4,2,35,4618,42,4499,29,4031,42,4499,120,111822,120,111822,,2025-03-23T02:39:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,8,324,45,104,138,171,5,1,173,29128,193,23641,159,29220,193,23641,107,110722,107,110722,,2025-03-23T02:41:07+00:00
0,23.3,99.9,0.8,0.2,66.6,60.9,23,270,45,104,139,170,3,1,54,7377,62,7118,47,6968,62,7118,114,111086,114,111086,,2025-03-23T02:43:07+00:00
11,23.5,99.9,1,0.2,66.6,61.3,17,810,45,109,141,183,3,2,1532,752729,1621,222444,1529,769657,1622,222510,1302,1929142,1302,1929142,,2025-03-23T02:45:07+00:00
5,23.9,99.9,2,0.2,66.6,61.3,15,702,45,112,159,196,5,3,1584,676336,1663,305041,1617,697110,1671,305569,180,135263,180,135263,,2025-03-23T02:47:07+00:00
