cpu_pct_used,mem_pct_used,swap_pct_used,transient_pct_used,saswork_pct_used,workspace_pct_used,xythosfs_pct_used,TotalRecvQ_bytes,TotalSendQ_bytes,usockets_servers,usockets_connections,tcp_active_connections,tcp_inactive_connections,active_https_conn,inactive_https_conn,enP65410s1_rx_packets,enP65410s1_rx_bytes,enP65410s1_tx_packets,enP65410s1_tx_bytes,eth0_rx_packets,eth0_rx_bytes,eth0_tx_packets,eth0_tx_bytes,lo_rx_packets,lo_rx_bytes,lo_tx_packets,lo_tx_bytes,high_usage,eth1_rx_packets,eth1_rx_bytes,eth1_tx_packets,eth1_tx_bytes,date
3,24.2,95,2.5,0.2,66.6,58,12,1622,42,128,284,313,19,9,,,,,4059,2238413,4873,866345,622,260349,622,260349,,4455,2320628,4900,868127,2025-03-25T00:01:07+00:00
4,23.8,95,1.3,0.2,66.6,58,22,922,42,122,316,309,17,7,,,,,1233,528239,1352,230199,187,157904,187,157904,,1283,547551,1363,230925,2025-03-25T00:03:07+00:00
3,23.9,95,1.3,0.2,66.6,58,12,627,42,109,217,274,11,4,,,,,367,172225,370,160624,402,44703,402,44703,,387,177853,407,163066,2025-03-25T00:05:06+00:00
3,23.3,95,0.8,0.2,66.6,58,7,270,42,103,165,226,5,2,,,,,364,107751,424,79648,192,125567,192,125567,,360,111026,435,80434,2025-03-25T00:07:07+00:00
0,23.3,95,0.8,0.2,66.6,58,15,702,42,100,123,191,4,1,,,,,112,17656,126,35905,113,111093,113,111093,,103,17883,136,36565,2025-03-25T00:09:07+00:00
15,24.4,95,3.7,0.2,66.6,58.1,64,4466,42,129,437,322,37,10,,,,,3978,2024907,4610,801577,1522,990535,1522,990535,,4323,2101493,4652,804349,2025-03-25T00:11:07+00:00
7,24.3,94.9,2.2,0.2,66.6,58.2,10,664,42,136,289,329,14,11,,,,,2151,1052490,2450,410163,373,143126,373,143126,,2316,1091204,2465,411153,2025-03-25T00:13:07+00:00
4,23.9,94.9,1.8,0.2,66.6,58.2,11,519,42,118,266,305,18,5,,,,,2374,1293908,2646,605148,1731,899723,1731,899723,,2550,1335443,2706,609108,2025-03-25T00:15:07+00:00
10,23.9,94.9,1.2,0.2,66.6,58.2,15,2626,42,124,234,310,10,7,,,,,2521,1081656,2591,516621,131,113701,131,113701,,2589,1121127,2615,518205,2025-03-25T00:17:07+00:00
6,23.8,94.9,2.7,0.2,66.6,58.2,12,540,42,112,216,255,9,5,,,,,294,88088,306,88518,666,921416,666,921416,,277,87458,324,89706,2025-03-25T00:19:07+00:00
