cpu_pct_used,mem_pct_used,swap_pct_used,transient_pct_used,saswork_pct_used,xythosfs_pct_used,workspace_pct_used,high_usage,TotalRecvQ_bytes,TotalSendQ_bytes,usockets_servers,usockets_connections,tcp_active_connections,tcp_inactive_connections,active_https_conn,inactive_https_conn,enP65410s1_rx_packets,enP65410s1_rx_bytes,enP65410s1_tx_packets,enP65410s1_tx_bytes,eth0_rx_packets,eth0_rx_bytes,eth0_tx_packets,eth0_tx_bytes,lo_rx_packets,lo_rx_bytes,lo_tx_packets,lo_tx_bytes,eth1_rx_packets,eth1_rx_bytes,eth1_tx_packets,eth1_tx_bytes,date
0,23.3,99.4,0.8,0.2,62.7,66.6,,98,432,42,100,128,138,3,1,,,,,11,1272,18,1642,122,113544,122,113544,8,961,18,1642,2025-03-22T00:01:07+00:00
3,23.3,99.3,0.8,0.2,62.7,66.6,,4,162,42,102,145,142,4,1,,,,,17,2065,23,1989,154,117248,154,117248,10,1138,23,1989,2025-03-22T00:03:07+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,7,270,42,100,122,139,3,1,,,,,324,68108,339,45755,152,116286,152,116286,317,71479,339,45755,2025-03-22T00:05:07+00:00
2,23.3,99.3,0.8,0.2,62.7,66.6,,9,378,42,100,132,138,4,1,,,,,23,3111,27,3171,119,112554,119,112554,16,2268,27,3171,2025-03-22T00:07:07+00:00
1,23.3,99.3,0.8,0.2,62.7,66.6,,9,378,42,100,109,139,3,1,,,,,9,923,17,1600,116,111190,116,111190,8,961,17,1600,2025-03-22T00:09:07+00:00
1,23.3,99.3,0.8,0.2,62.7,66.6,,8,368,42,100,130,140,4,1,,,,,883,202996,888,124878,105,110618,105,110618,876,214193,888,124878,2025-03-22T00:11:07+00:00
1,23.3,99.3,0.8,0.2,62.7,66.6,,8,324,42,100,142,139,3,1,,,,,17,2065,26,2134,100,110358,100,110358,10,1138,26,2134,2025-03-22T00:13:07+00:00
1,23.2,99.3,0.8,0.2,62.7,66.6,,6,216,42,100,123,133,4,1,,,,,30,3565,35,2963,120,111882,120,111882,15,1506,35,2963,2025-03-22T00:15:07+00:00
1,23.3,99.3,0.8,0.2,62.7,66.6,,56,216,42,100,132,140,4,1,,,,,43,7029,53,8689,112,110982,112,110982,14,1434,54,8755,2025-03-22T00:17:07+00:00
2,23.3,99.3,0.8,0.2,62.7,66.6,,46,324,42,100,111,135,4,1,,,,,28,5222,41,7905,107,110722,107,110722,8,961,42,7971,2025-03-22T00:19:07+00:00
0,23.2,99.3,0.8,0.2,62.7,66.6,,7,270,42,100,133,132,3,1,,,,,388,82612,405,54884,119,111346,119,111346,381,86879,404,54758,2025-03-22T00:21:07+00:00
1,23.3,99.3,0.8,0.2,62.7,66.6,,12,540,42,100,145,132,3,1,,,,,21,2513,30,2643,116,110881,116,110881,14,1642,30,2643,2025-03-22T00:23:06+00:00
1,23.3,99.3,0.8,0.2,62.7,66.6,,7,270,42,100,123,135,3,1,,,,,18,2203,24,2088,125,111632,125,111632,10,1141,24,2088,2025-03-22T00:25:07+00:00
2,23.5,99.3,0.9,0.2,62.7,66.6,,55,238,42,103,130,148,4,2,,,,,3941,1679776,3568,1278568,159,116072,159,116072,4468,1769169,4150,1317024,2025-03-22T00:27:07+00:00
2,23.5,99.3,0.9,0.2,62.7,66.6,,102,589,42,103,110,149,3,2,,,,,4793,4269332,3364,3897921,137,113752,137,113752,7012,4482296,5817,4059819,2025-03-22T00:29:07+00:00
2,23.5,99.3,0.9,0.2,62.7,66.6,,9,378,45,107,130,145,3,2,,,,,4999,4651515,3512,4274084,120,14406,120,14406,7464,4882785,6190,4450772,2025-03-22T00:31:07+00:00
2,23.6,99.3,0.9,0.2,62.7,66.6,,14,648,45,107,152,144,3,2,,,,,21,2513,30,2643,98,13362,98,13362,14,1642,30,2643,2025-03-22T00:33:06+00:00
4,23.5,99.3,0.9,0.2,62.7,66.6,,8,324,45,109,123,142,3,2,,,,,905,1208478,501,1166537,179,23046,179,23046,1598,1265397,1244,1215575,2025-03-22T00:35:06+00:00
4,23.5,99.3,0.9,0.2,62.7,66.6,,8,324,45,107,133,141,3,2,,,,,636,815284,402,786941,174,22371,174,22371,1091,852812,862,817301,2025-03-22T00:37:06+00:00
3,23.5,99.3,0.9,0.2,62.7,66.6,,11,486,45,107,113,142,3,2,,,,,1009,1384978,586,1191468,161,33086,161,33086,1819,1452128,1328,1240440,2025-03-22T00:39:06+00:00
1,23.3,99.3,0.8,0.2,62.7,66.6,,7,314,45,104,138,138,5,1,,,,,969,221028,975,136226,91,11428,91,11428,955,232264,975,136226,2025-03-22T00:41:06+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,12,540,45,104,147,136,4,1,,,,,224,46951,240,35787,99,110270,99,110270,217,48922,240,35787,2025-03-22T00:43:07+00:00
4,23.3,99.3,0.9,0.2,62.7,66.6,,9,378,45,106,125,142,3,1,,,,,513,217703,541,86712,218,204997,218,204997,491,219619,543,86844,2025-03-22T00:45:07+00:00
2,23.7,99.3,0.9,0.2,62.7,66.6,,12,540,45,107,134,144,3,2,,,,,50,7867,59,9249,91,11428,91,11428,21,2370,60,9315,2025-03-22T00:47:06+00:00
4,23.7,99.3,0.9,0.2,62.7,66.6,,65,702,45,107,115,146,3,2,,,,,30,3510,37,3124,92,11480,92,11480,16,1600,37,3124,2025-03-22T00:49:06+00:00
2,23.8,99.3,0.9,0.2,62.7,66.6,,111,908,45,107,142,147,3,2,,,,,947,217129,953,133640,112,110982,112,110982,937,228757,953,133640,2025-03-22T00:51:07+00:00
2,23.8,99.3,0.9,0.2,62.7,66.6,,10,729,45,107,148,143,3,2,,,,,32,3953,44,4204,116,111190,116,111190,25,3236,44,4204,2025-03-22T00:53:07+00:00
2,23.8,99.3,0.9,0.2,62.7,66.6,,8,324,45,107,122,144,3,2,,,,,20,2395,27,2374,93,11506,93,11506,12,1361,27,2374,2025-03-22T00:55:06+00:00
2,23.8,99.3,0.9,0.3,62.7,66.6,,11,486,45,107,135,147,3,2,,,,,19,2232,28,2509,90,11376,90,11376,12,1333,28,2509,2025-03-22T00:57:06+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,12,540,45,104,113,131,3,1,,,,,8,896,17,1665,90,11376,90,11376,8,1008,17,1665,2025-03-22T00:59:06+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,7,314,45,104,126,132,4,1,,,,,772,176523,780,109084,115,111138,115,111138,764,185945,779,108999,2025-03-22T01:01:07+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,9,378,45,104,142,138,4,1,,,,,46,6128,60,6990,107,110722,107,110722,46,6772,60,6990,2025-03-22T01:03:06+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,8,324,45,104,125,135,3,1,,,,,20,2395,26,2256,126,111684,126,111684,12,1361,26,2256,2025-03-22T01:05:07+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,58,324,45,104,128,137,3,1,,,,,28,5141,41,7960,132,112022,132,112022,10,1201,42,8026,2025-03-22T01:07:07+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,10,432,45,104,110,136,4,1,,,,,35,5933,46,8257,110,110878,110,110878,13,1391,47,8323,2025-03-22T01:09:07+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,8,324,45,104,130,138,4,1,,,,,534,116560,549,75596,115,111138,115,111138,530,123336,549,75596,2025-03-22T01:11:07+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,4,108,45,104,138,134,3,1,,,,,25,4759,34,7237,107,110104,107,110104,8,1008,35,7303,2025-03-22T01:13:07+00:00
1,23.3,99.3,0.8,0.2,62.7,66.6,,8,324,45,104,123,132,4,1,,,,,20,2395,28,2493,128,132783,128,132783,12,1361,28,2493,2025-03-22T01:15:07+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,7,270,45,104,133,132,4,1,,,,,30,3564,36,2996,117,132041,117,132041,16,1654,36,2996,2025-03-22T01:17:07+00:00
2,23.3,99.3,0.8,0.2,62.7,66.6,,7,270,45,104,109,131,3,1,,,,,20,2264,25,2159,123,132567,123,132567,13,1379,25,2159,2025-03-22T01:19:07+00:00
1,23.3,99.3,0.8,0.2,62.7,66.6,,9,378,45,104,135,132,3,1,,,,,19,2212,26,2279,126,132743,126,132743,12,1313,26,2279,2025-03-22T01:21:07+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,7,270,45,104,143,131,4,1,,,,,21,2513,29,2524,102,32928,102,32928,14,1642,29,2524,2025-03-22T01:23:06+00:00
0,23.3,99.3,0.8,0.2,62.7,66.6,,1281,2004,45,104,125,134,4,1,,,,,23,2706,29,2551,129,133015,129,133015,14,1493,29,2551,2025-03-22T01:25:07+00:00
2,23.5,99.3,0.9,0.2,62.7,66.6,,80,708,45,107,143,146,3,2,,,,,4171,1787564,3782,1404848,173,137692,173,137692,4736,1881718,4425,1447226,2025-03-22T01:27:07+00:00
3,23.6,99.3,0.9,0.2,62.7,66.6,,6,276,45,107,109,140,4,2,,,,,4785,3880919,3554,3478977,148,135145,148,135145,6706,4074180,5668,3618561,2025-03-22T01:29:07+00:00
5,23.6,99.3,0.9,0.2,62.7,66.6,,9,1021,45,107,139,143,4,2,,,,,6833,5016184,5218,4462213,120,14406,120,14406,9247,5270808,7934,4641409,2025-03-22T01:31:07+00:00
4,23.6,99.3,0.9,0.2,62.7,66.6,,14,648,45,107,151,141,3,2,,,,,59,7717,74,8220,110,110368,110,110368,52,7378,73,8014,2025-03-22T01:33:07+00:00
