type,study,date,ind,refreshdttm,reas,subtype,warning,sort,indication
ADAM,argx-113-[itp]-1801,2023-01-06,itp,,UPTODATE,ADAM,,2,itp
ADAM,argx-113-[mg]-1602,2023-01-07,mg,,UPTODATE,ADAM,,2,mg
ADAM,argx-113-[mg]-1704,2023-01-07,mg,,UPTODATE,ADAM,,2,mg
ADAM,argx-113-[itp]-2004,2023-01-09,itp,,,ADAM,,2,itp
ADAM,argx-113-[mg]-1705,2023-01-09,mg,,UPTODATE,ADAM,,2,mg
ADAM,argx-113-[mg]-2001,2023-01-09,mg,,UPTODATE,ADAM,,2,mg
ADAM,argx-113-[cidp]-1902,2023-01-12,cidp,,,ADAM,,2,cidp
ADAM,argx-113-[mg]-2003,2023-01-12,mg,,,ADAM,,2,mg
ADAM,argx-113-[cidp]-0000,2023-01-13,cidp,,,ADAM,,2,cidp
ADAM,argx-113-[cidp]-1802,2023-01-13,cidp,,,ADAM,,2,cidp
ADAM,argx-113-[mg]-2006,2023-01-13,mg,,,ADAM,,2,mg
ADAM,argx-113-[itp]-0000,2023-01-15,itp,,,ADAM,,2,itp
ADAM,argx-113-[itp]-1803,2023-01-18,itp,,,ADAM,,2,itp
ADAM,argx-117-[mmn]-2002,2023-01-19,mmn,,,ADAM,,2,mmn
ADAM,argx-113-[x-ind]-0000,2023-01-20,x-ind,,,ADAM,,2,x-ind
ADAM,argx-113-[pv]-1904,2023-01-26,pv,,UPTODATE,ADAM,,2,pv
ADAM,argx-113-[mg]-0000,2023-01-27,mg,,,ADAM,,2,mg
ADAM,argx-113-[pv]-0000,2023-01-27,pv,,UPTODATE,ADAM,,2,pv
ADAM,argx-117-[mmn]-0000,2023-01-27,mmn,,UPTODATE,ADAM,,2,mmn
ADAM,argx-117-[x-ind]-0000,2023-01-27,x-ind,,UPTODATE,ADAM,,2,x-ind
ADAM,argx-117-[hv]-1901,2023-01-30,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-0000,2023-02-01,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[mg]-2002,2023-02-01,mg,,UPTODATE,ADAM,,2,mg
ADAM,argx-113-[mg]-2008,2023-02-01,mg,,UPTODATE,ADAM,,2,mg
ADAM,argx-113-[pv]-1701,2023-02-01,pv,,UPTODATE,ADAM,,2,pv
ADAM,argx-113-[pv]-1905,2023-02-01,pv,,UPTODATE,ADAM,,2,pv
ADAM,argx-113-[bp]-2009,2023-02-02,bp,,UPTODATE,ADAM,,2,bp
ADAM,argx-113-[hv]-0000,2023-02-03,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-1501,2023-02-03,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-1702,2023-02-03,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-1901,2023-02-03,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-1907,2023-02-03,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-2102,2023-02-03,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-z005,2023-02-03,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-z006,2023-02-03,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[itp]-0000,2023-02-03,itp,,UPTODATE,ADAM,,2,itp
ADAM,argx-113-[itp]-1603,2023-02-03,itp,,UPTODATE,ADAM,,2,itp
ADAM,argx-113-[itp]-1803,2023-02-03,itp,,UPTODATE,ADAM,,2,itp
ADAM,argx-113-[itp]-2005,2023-02-03,itp,,UPTODATE,ADAM,,2,itp
ADAM,argx-113-[mg]-2002,2023-02-03,mg,,UPTODATE,ADAM,,2,mg
ADAM,argx-113-[mg]-2008,2023-02-03,mg,,UPTODATE,ADAM,,2,mg
ADAM,argx-113-[pv]-1701,2023-02-03,pv,,UPTODATE,ADAM,,2,pv
ADAM,argx-113-[pv]-1905,2023-02-03,pv,,UPTODATE,ADAM,,2,pv
ADAM,argx-113-[x-ind]-0000,2023-02-04,x-ind,,,ADAM,,2,x-ind
ADAM,argx-113-[cidp]-0000,2023-02-05,cidp,,UPTODATE,ADAM,,2,cidp
ADAM,argx-113-[cidp]-1902,2023-02-05,cidp,,UPTODATE,ADAM,,2,cidp
ADAM,argx-113-[hv]-0000,2023-02-05,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-1501,2023-02-05,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-1702,2023-02-05,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-1901,2023-02-05,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-1907,2023-02-05,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-2102,2023-02-05,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-z005,2023-02-05,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-z006,2023-02-05,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[itp]-0000,2023-02-05,itp,,UPTODATE,ADAM,,2,itp
ADAM,argx-113-[itp]-1603,2023-02-05,itp,,UPTODATE,ADAM,,2,itp
ADAM,argx-113-[itp]-2004,2023-02-05,itp,,UPTODATE,ADAM,,2,itp
ADAM,argx-113-[itp]-2005,2023-02-05,itp,,UPTODATE,ADAM,,2,itp
ADAM,argx-113-[mg]-2002,2023-02-05,mg,,UPTODATE,ADAM,,2,mg
ADAM,argx-113-[mg]-2008,2023-02-05,mg,,UPTODATE,ADAM,,2,mg
ADAM,argx-113-[pv]-1701,2023-02-05,pv,,UPTODATE,ADAM,,2,pv
ADAM,argx-113-[pv]-1905,2023-02-05,pv,,UPTODATE,ADAM,,2,pv
ADAM,argx-113-[hv]-0000,2023-02-06,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[x-ind]-0000,2023-02-06,x-ind,,UPTODATE,ADAM,,2,x-ind
ADAM,argx-113-[hv]-0000,2023-02-07,hv,,UPTODATE,ADAM,,2,hv
ADAM,argx-113-[hv]-1501,2023-02-07,hv,,,ADAM,,2,hv
ADAM,argx-113-[hv]-1702,2023-02-07,hv,,,ADAM,,2,hv
ADAM,argx-113-[hv]-1901,2023-02-07,hv,,,ADAM,,2,hv
ADAM,argx-113-[hv]-1907,2023-02-07,hv,,,ADAM,,2,hv
ADAM,argx-113-[hv]-2102,2023-02-07,hv,,,ADAM,,2,hv
ADAM,argx-113-[hv]-z005,2023-02-07,hv,,,ADAM,,2,hv
ADAM,argx-113-[hv]-z006,2023-02-07,hv,,,ADAM,,2,hv
ADAM,argx-113-[itp]-0000,2023-02-07,itp,,,ADAM,,2,itp
ADAM,argx-113-[itp]-1603,2023-02-07,itp,,,ADAM,,2,itp
ADAM,argx-113-[itp]-2005,2023-02-07,itp,,,ADAM,,2,itp
ADAM,argx-113-[mg]-1705,2023-02-07,mg,,,ADAM,,2,mg
ADAM,argx-113-[mg]-2002,2023-02-07,mg,,,ADAM,,2,mg
